label=GoogleLES build_tabular end-to-end
samples=13373 sample_rate=0.05
format=flat sortedby=count mincount=5

   Count  Overhead File                                                                                                                        Line Function
      80         0 @Base/logging/ConsoleLogger.jl                                                                                              110 handle_message(logger::Base.CoreLogging.ConsoleLogger, level::Base.CoreLogging.LogLevel, message::Any, _module::Any, group::Any, id::Any, f…
      80         0 @Base/reflection.jl                                                                                                        1295 #invokelatest_gr#232
      80         0 @Base/reflection.jl                                                                                                        1289 invokelatest_gr
      80         0 @Base/logging/logging.jl                                                                                                    434 handle_message_nothrow(logger::Any, level::Any, msg::Any, _module::Any, group::Any, id::Any, file::Any, line::Any; kwargs...)
      80         0 @Base/logging/logging.jl                                                                                                    431 handle_message_nothrow(logger::Any, level::Any, msg::Any, _module::Any, group::Any, id::Any, file::Any, line::Any)
      80         0 @Base/logging/logging.jl                                                                                                    419 macro expansion
      80         0 @MLCondensateDistributions/utils/GoogleLES.jl                                                                               120 load_zarr_simulation(site_id::Int64, month::Int64, experiment::String)
      80        80 @Base/boot.jl                                                                                                               792 NamedTuple
      80         0 @Base/asyncmap.jl                                                                                                           201 setup_chnl_and_tasks
      80        80 @Base/tuple.jl                                                                                                               33 getindex
      80         0 @Base/tuple.jl                                                                                                               74 iterate
      80         0 @Base/strings/io.jl                                                                                                         147 print_to_string(::String, ::Int64, ::String, ::Int64, ::String, ::String, ::String, ::Int64)
      80         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     294 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h…
      88         0 @Base/lock.jl                                                                                                               253 wait_no_relock(c::Base.GenericCondition{Base.Threads.SpinLock})
      88         0 @Base/lock.jl                                                                                                               195 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
      88         0 @URIs/src/URIs.jl                                                                                                           420 escapeuri(key::String, value::String)
      88         0 none                                                                                                                          ? #escapeuri##4
      88         0 @Base/strings/io.jl                                                                                                         353 join(io::IOBuffer, iterator::Base.Generator{Dict{String, String}, URIs.var"#escapeuri##4#escapeuri##5"}, delim::String)
      96        96 @Zarr/src/Compressors/Compressors.jl                                                                                         55 getCompressor(compdict::Dict{Any, Any})
      96         0 @Zarr/src/metadata.jl                                                                                                       166 Zarr.Metadata(d::Dict{Any, Any}, fill_as_missing::Bool)
      96         0 @Zarr/src/metadata.jl                                                                                                       113 Zarr.Metadata{Float32, 4, Zarr.BloscCompressor, Nothing}(zarr_format::Int64, shape::NTuple{4, Int64}, chunks::NTuple{4, Int64}, dtype::Stri…
     110         0 @Base/strings/substring.jl                                                                                                   77 String
     112         0 @URIs/src/URIs.jl                                                                                                           425 escapeuri
     112         0 @URIs/src/URIs.jl                                                                                                            92 URIs.URI(uri::URIs.URI; scheme::SubString{String}, userinfo::SubString{String}, host::SubString{String}, port::SubString{String}, path::Sub…
     112         0 @URIs/src/URIs.jl                                                                                                            75 URI
     112         0 @HTTP/src/HTTP.jl                                                                                                           563 request_uri
     112       112 @Zarr/src/ZArray.jl                                                                                                          36 Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}(metadata::Zarr.Metadata{Float32, 4, Zarr.BloscCompressor, Nothing}, storage::Za…
     112         0 @Base/asyncmap.jl                                                                                                            98 async_usemap(f::Zarr.var"#read_items!##0#read_items!##1"{Zarr.GCStore, Channel{Pair{CartesianIndex{1}, Union{Nothing, Vector{UInt8}}}}, Str…
     128         0 @Base/abstractarray.jl                                                                                                      824 similar
     128         0 @Base/array.jl                                                                                                              660 _similar_for
     128         0 @Base/array.jl                                                                                                              738 _collect(cont::UnitRange{Int64}, itr::Base.SplitIterator{String, Base.Fix2{typeof(isequal), Char}}, ::Base.HasEltype, isz::Base.SizeUnknown)
