label=GoogleLES build_tabular end-to-end
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
 =====  ======== ====                                                                                                                        ==== ========
     5         0 @OpenSSL/src/ssl.jl                                                                                                         443 macro expansion
     5         0 @HTTP/src/HTTP.jl                                                                                                           432 stack
     5         1 @Base/task.jl                                                                                                              1229 wait()
     5         0 @Base/channels.jl                                                                                                           452 put_unbuffered(c::Channel{Any}, v::Tuple{Base.RefValue{Any}, Tuple{CartesianIndex{4}}})
     5         0 @Base/stream.jl                                                                                                            1069 uv_write(s::Sockets.TCPSocket, p::Ptr{UInt8}, n::UInt64)
     5         5 @Base/stream.jl                                                                                                            1114 uv_write_async(s::Sockets.TCPSocket, p::Ptr{UInt8}, n::UInt64)
     5         0 @OpenSSL/src/ssl.jl                                                                                                         447 macro expansion
     5         5 @OpenSSL/src/OpenSSL.jl                                                                                                    3099 clear_errors!
     5         0 @Zarr/src/Storage/Storage.jl                                                                                                 91 getattrs(s::Zarr.GCStore, p::String)
     6         6 @Base/cartesian.jl                                                                                                            ? macro expansion
     6         1 @HTTP/src/Messages.jl                                                                                                       553 parse_header_fields!(bytes::SubString{String}, m::HTTP.Messages.Response)
     6         0 @Zarr/src/ZArray.jl                                                                                                         122 Zarr.ZArray(s::Zarr.GCStore, mode::String, path::String; fill_as_missing::Bool)
     7         0 @Base/multidimensional.jl                                                                                                  1022 macro expansion
     7         0 @Base/array.jl                                                                                                              997 setindex!
     7         7 @Base/array.jl                                                                                                             1003 _setindex!
     7         0 @Base/channels.jl                                                                                                           435 put_unbuffered(c::Channel{Any}, v::Tuple{Base.RefValue{Any}, Tuple{CartesianIndex{4}}})
     7         4 @Base/cartesian.jl                                                                                                           66 macro expansion
     7         0 @JSON/src/parse.jl                                                                                                          181 parse
     7         1 @StructUtils/src/StructUtils.jl                                                                                             907 make(style::JSON.JSONReadStyle{Dict, Nothing}, T::Type, source::JSON.LazyValue{String})
     7         0 @StructUtils/src/StructUtils.jl                                                                                             985 makedict(style::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Dict}, source::JSON.LazyValue{String})
     7         0 @StructUtils/src/StructUtils.jl                                                                                             987 makedict(style::JSON.JSONReadStyle{Dict, Nothing}, dict::Dict{Any, Any}, source::JSON.LazyValue{String})
     7         0 @JSON/src/lazy.jl                                                                                                           182 applyeach(::JSON.JSONReadStyle{Dict, Nothing}, f::StructUtils.DictClosure{Dict{Any, Any}, JSON.JSONReadStyle{Dict, Nothing}}, x::JSON.LazyValue{S…
     7         0 @JSON/src/lazy.jl                                                                                                           284 applyobject(keyvalfunc::StructUtils.DictClosure{Dict{Any, Any}, JSON.JSONReadStyle{Dict, Nothing}}, x::JSON.LazyValue{String})
     7         1 @StructUtils/src/StructUtils.jl                                                                                             980 (::StructUtils.DictClosure{Dict{Any, Any}, JSON.JSONReadStyle{Dict, Nothing}})(k::JSON.PtrString, v::JSON.LazyValue{String})
     8         8 @Base/promotion.jl                                                                                                          637 ==
     8         0 @Zarr/src/ZArray.jl                                                                                                         121 Zarr.ZArray(s::Zarr.GCStore, mode::String, path::String; fill_as_missing::Bool)
     8         0 @Zarr/src/Storage/Storage.jl                                                                                                118 getmetadata(s::Zarr.GCStore, p::String, fill_as_missing::Bool)
     8         1 @Zarr/src/metadata.jl                                                                                                       153 Zarr.Metadata(s::String, fill_as_missing::Bool)
     9         0 @HTTP/src/Messages.jl                                                                                                       540 readheaders(io::HTTP.Connections.Connection{OpenSSL.SSLStream}, message::HTTP.Messages.Response)
     9         0 @JSON/src/parse.jl                                                                                                          181 kwcall(::@NamedTuple{dicttype::UnionAll}, ::typeof(JSON.parse), buf::String, ::Type{Any})
     9         0 @JSON/src/parse.jl                                                                                                          181 parse(buf::String, ::Type{Any}; dicttype::Type{Dict}, null::Nothing, style::JSON.JSONReadStyle{Dict, Nothing}, kw::Base.Pairs{Symbol, Union{}, No…
     9         0 @JSON/src/parse.jl                                                                                                          189 parse
     9         0 @JSON/src/parse.jl                                                                                                          189 parse(x::JSON.LazyValue{String}, ::Type{Any}; dicttype::Type{Dict}, null::Nothing, style::JSON.JSONReadStyle{Dict, Nothing})
     9         0 @JSON/src/parse.jl                                                                                                          193 _parse
     9         0 @JSON/src/parse.jl                                                                                                          317 make(st::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Any}, x::JSON.LazyValue{String})
    11         0 @Base/asyncmap.jl                                                                                                           231 (::Base.var"#start_worker_task!##0#start_worker_task!##1"{Base.var"#938#939"{Zarr.var"#read_items!##0#read_items!##1"{Zarr.GCStore, Channel{Pair{…
    12         0 @Base/asyncmap.jl                                                                                                           157 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}})
    12         0 @Base/abstractarray.jl                                                                                                     3372 map(f::Function, A::CartesianIndices{4, NTuple{4, UnitRange{Int64}}})
    12         0 @Base/array.jl                                                                                                              732 collect_similar(cont::CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, itr::Base.Generator{CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, Bas…
    12         0 @Base/array.jl                                                                                                              820 _collect(c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, itr::Base.Generator{CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, Base.var"#wra…
    12         0 @Base/array.jl                                                                                                              826 collect_to_with_first!
    12         0 @Base/array.jl                                                                                                              848 collect_to!(dest::Array{Base.RefValue{Any}, 4}, itr::Base.Generator{CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, Base.var"#wrap_n_exec_twice…
    12         0 @Base/generator.jl                                                                                                           48 iterate
    12         0 @Base/asyncmap.jl                                                                                                           135 #wrap_n_exec_twice##0
    12         0 @Base/channels.jl                                                                                                           709 iterate(c::Channel{Any}, state::Nothing)
    12         0 @Base/channels.jl                                                                                                           526 take!
    12         0 @Base/channels.jl                                                                                                           544 take_unbuffered(c::Channel{Any})
    13         0 @Base/channels.jl                                                                                                           397 put!
    14         0 @Zarr/src/ZGroup.jl                                                                                                          52 zopen_noerr(s::Zarr.GCStore, mode::String; consolidated::Bool, path::String, lru::Int64, fill_as_missing::Bool)
    14         0 @Zarr/src/ZArray.jl                                                                                                         120 ZArray
    15         0 @Zarr/src/ZArray.jl                                                                                                         291 uncompress_to_output!(aout::Array{Float32, 4}, output_base_offsets::NTuple{4, Int64}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCSto…
    15         0 @Base/abstractarray.jl                                                                                                     1443 setindex!
    15         0 @Base/multidimensional.jl                                                                                                  1008 _setindex!
    15         0 @Base/multidimensional.jl                                                                                                  1029 _unsafe_setindex!(::IndexLinear, ::Array{Float32, 4}, ::Array{Float32, 4}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitRang…
    15         0 @Base/multidimensional.jl                                                                                                  1020 macro expansion
