label=process_abstract_chunk repeated kernel
samples=73 sample_rate=0.05
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
 =====  ======== ====                                                                                                                        ==== ========
     8         8 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         161 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
     8         8 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         160 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    16        16 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         199 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    32         0 @Base/boot.jl                                                                                                               670 Array
    32         0 @Base/array.jl                                                                                                              158 vect
    32         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      312 #DataFrame#220
    32         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      310 DataFrame
    32         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         385 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         166 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         183 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         182 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         186 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         174 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         167 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         169 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    96         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         177 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    96         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         179 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    96         0 @Base/array.jl                                                                                                              405 getindex
   128       128 @Base/boot.jl                                                                                                               648 Array
   128         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         190 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   144         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         172 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   160       160 @Base/dict.jl                                                                                                                80 Dict
   160         0 @DataFrames/src/other/index.jl                                                                                               32 Index
   160         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         175 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   160         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         173 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   160         0 @Base/boot.jl                                                                                                               647 Array
   160         0 @Base/boot.jl                                                                                                               660 Array
   160         0 @Base/abstractarray.jl                                                                                                      867 similar
   160         0 @Base/abstractarray.jl                                                                                                      866 similar
   160         0 @Base/broadcast.jl                                                                                                          228 similar
   160         0 @Base/broadcast.jl                                                                                                          227 similar
   160         0 @Base/broadcast.jl                                                                                                          919 copy
   160         0 @Base/broadcast.jl                                                                                                          894 materialize(bc::Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{1}, Nothing, Type{Float32}, Tuple{Vector{Float32}}})
   160         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         201 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   176         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         188 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   176         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         180 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   208         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         171 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   208         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         187 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   224         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         170 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   240         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         168 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   240         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         195 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
