label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
       48         0 @URIs/src/URIs.jl                                                                                                            86 URIs.URI(uri::URIs.URI; scheme::SubString{String}, userinfo::SubString{String}, host::SubString{String}, port::SubString{String}, path::SubStr…
       48         0 @URIs/src/URIs.jl                                                                                                           425 escapeuri
       48         0 @URIs/src/URIs.jl                                                                                                            92 URIs.URI(uri::URIs.URI; scheme::SubString{String}, userinfo::SubString{String}, host::SubString{String}, port::SubString{String}, path::SubStr…
       48        48 @JSON/src/parse.jl                                                                                                          325 make(st::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Any}, x::JSON.LazyValue{String})
       48         0 @Zarr/src/metadata.jl                                                                                                       113 Zarr.Metadata{Float32, 4, Zarr.BloscCompressor, Nothing}(zarr_format::Int64, shape::NTuple{4, Int64}, chunks::NTuple{4, Int64}, dtype::String,…
       48         0 @Base/array.jl                                                                                                              810 _collect(c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, itr::Base.Generator{CartesianIndices{4, NTuple{4, UnitRange{Int64}}}, Base.var"#…
       48        48 @Base/array.jl                                                                                                              819 _collect(c::Array{Base.RefValue{Any}, 4}, itr::Base.Generator{Array{Base.RefValue{Any}, 4}, Base.var"#maptwice##2#maptwice##3"}, ::Base.Eltype…
       48        48 @Base/bitarray.jl                                                                                                            39 BitArray
       48         0 @Base/bitarray.jl                                                                                                            71 BitArray
       48         0 @Base/broadcast.jl                                                                                                          230 similar
       48         0 @Base/broadcast.jl                                                                                                          227 similar
       48         0 @Base/broadcast.jl                                                                                                          919 copy
       48         0 @Base/broadcast.jl                                                                                                          894 materialize
       48         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     297 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       52         0 @Base/path.jl                                                                                                               151 splitdir
       52         0 @Base/path.jl                                                                                                               183 dirname
