label=GoogleLES build_tabular end-to-end
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
    14         0 @MLCondensateDistributions/utils/GoogleLES.jl                                                                               126 load_zarr_simulation(site_id::Int64, month::Int64, experiment::String)
    14         0 @Zarr/src/ZGroup.jl                                                                                                         108 zopen
    14         0 @Zarr/src/ZGroup.jl                                                                                                         110 zopen(s::String, mode::String; kwargs::Base.Pairs{Symbol, Bool, Nothing, @NamedTuple{consolidated::Bool}})
    14         0 @Zarr/src/ZGroup.jl                                                                                                          89 kwcall(::@NamedTuple{path::SubString{String}, consolidated::Bool}, ::typeof(Zarr.zopen), s::Zarr.GCStore, mode::String)
    14         0 @Zarr/src/ZGroup.jl                                                                                                          95 #zopen#82
    14         0 @Zarr/src/ZGroup.jl                                                                                                          42 kwcall(::@NamedTuple{consolidated::Bool, path::SubString{String}, lru::Int64, fill_as_missing::Bool}, ::typeof(Zarr.zopen_noerr), s::Zarr.GCStore…
    15         0 @HTTP/src/clientlayers/ConnectionRequest.jl                                                                                  82 (::HTTP.ConnectionRequest.var"#connections#connectionlayer##0"{HTTP.ConnectionRequest.var"#connections#1#connectionlayer##1"{HTTP.TimeoutRequest.…
    15         0 @HTTP/src/Connections.jl                                                                                                    443 kwcall(::@NamedTuple{readtimeout::Int64, connect_timeout::Int64, iofunction::Nothing, decompress::Nothing, verbose::Int64, status_exception::Bool…
    15         0 @Base/genericmemory.jl                                                                                                      186 copyto!
    15         0 @Base/genericmemory.jl                                                                                                      143 unsafe_copyto!
    15         0 @Base/genericmemory.jl                                                                                                      125 unsafe_copyto!
    15         0 @OpenSSL/src/ssl.jl                                                                                                         663 macro expansion
    16         0 @Base/stream.jl                                                                                                             655 uv_alloc_buf(handle::Ptr{Nothing}, size::UInt64, buf::Ptr{Nothing})
    16         0 @Base/stream.jl                                                                                                             639 alloc_buf_hook
    23         0 @HTTP/src/Connections.jl                                                                                                    308 (::HTTP.Connections.var"#3#4"{HTTP.Connections.Connection{OpenSSL.SSLStream}})()
    23         0 @HTTP/src/Connections.jl                                                                                                    288 monitor_idle_connection(c::HTTP.Connections.Connection{OpenSSL.SSLStream})
    23         0 @Zarr/src/ZArray.jl                                                                                                         291 uncompress_to_output!(aout::Array{Float32, 4}, output_base_offsets::NTuple{4, Int64}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCSto…
    23         0 @Base/abstractarray.jl                                                                                                     1443 setindex!
    23         0 @Base/multidimensional.jl                                                                                                  1008 _setindex!
    23         0 @Base/multidimensional.jl                                                                                                  1029 _unsafe_setindex!(::IndexLinear, ::Array{Float32, 4}, ::Array{Float32, 4}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitRang…
    23         0 @Base/multidimensional.jl                                                                                                  1020 macro expansion
    24         0 @Base/channels.jl                                                                                                           526 take!
    37         0 @Base/lock.jl                                                                                                               218 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
    38         0 @Base/multidimensional.jl                                                                                                   981 macro expansion
