104|1|amip	generated	112907	0	2026-04-03T03:27:31.204
105|1|amip	generated	102993	0	2026-04-03T03:27:31.204
106|1|amip	generated	126824	0	2026-04-03T03:27:31.204
107|1|amip	generated	392066	0	2026-04-03T03:27:31.204
108|1|amip	generated	119722	0	2026-04-03T03:27:31.204
109|1|amip	generated	199557	0	2026-04-03T03:27:31.204
110|1|amip	generated	12764	0	2026-04-03T03:27:31.204
111|1|amip	generated	245587	0	2026-04-03T09:42:29
112|1|amip	generated	112622	0	2026-04-03T09:42:29.016
113|1|amip	generated	87648	0	2026-04-03T09:42:29.016
114|1|amip	generated	132533	0	2026-04-03T09:42:29.016
115|1|amip	generated	102334	0	2026-04-03T09:42:29.016
116|1|amip	generated	78021	0	2026-04-03T09:42:29.016
117|1|amip	generated	167367	0	2026-04-03T09:42:29.016
118|1|amip	generated	164011	0	2026-04-03T09:42:29.016
119|1|amip	generated	143478	0	2026-04-03T09:42:29.016
120|1|amip	generated	208655	0	2026-04-03T09:42:29.016
121|1|amip	generated	112801	0	2026-04-03T09:42:29.016
122|1|amip	generated	272263	0	2026-04-03T09:42:29.016
123|1|amip	generated	104474	0	2026-04-03T09:42:29.016
124|1|amip	generated	86744	0	2026-04-03T09:42:29.016
125|1|amip	generated	169994	0	2026-04-03T09:42:29.016
126|1|amip	generated	125359	0	2026-04-03T09:42:29.016
127|1|amip	generated	85806	0	2026-04-03T09:42:29.016
128|1|amip	generated	133022	0	2026-04-03T09:42:29.016
129|1|amip	generated	195541	0	2026-04-03T09:42:29.016
130|1|amip	generated	78284	0	2026-04-03T09:42:29.016
131|1|amip	generated	465550	0	2026-04-03T09:42:29.016
132|1|amip	generated	34272	0	2026-04-03T09:42:29.016
133|1|amip	generated	185674	0	2026-04-03T09:42:29.016
134|1|amip	generated	408697	0	2026-04-03T09:42:29.016
135|1|amip	generated	188593	0	2026-04-03T09:42:29.016
136|1|amip	generated	418389	0	2026-04-03T09:42:29.016
137|1|amip	generated	38130	0	2026-04-03T09:42:29.016
138|1|amip	generated	164272	0	2026-04-03T09:42:29.016
139|1|amip	generated	87345	0	2026-04-03T09:42:29.016
140|1|amip	generated	125730	0	2026-04-03T09:42:29.016
141|1|amip	generated	248808	0	2026-04-03T09:42:29.016
142|1|amip	generated	128805	0	2026-04-03T09:42:29.016
143|1|amip	generated	112722	0	2026-04-03T09:42:29.016
144|1|amip	generated	179881	0	2026-04-03T09:42:29.016
145|1|amip	generated	91564	0	2026-04-03T09:42:29.016
146|1|amip	generated	181079	0	2026-04-03T09:42:29.016
147|1|amip	generated	136584	0	2026-04-03T09:42:29.016
148|1|amip	generated	92442	0	2026-04-03T09:42:29.016
