label=process_abstract_chunk repeated kernel
samples=71 sample_rate=0.05
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
 =====  ======== ====                                                                                                                        ==== ========
     8         8 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         152 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    16        16 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         153 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    16        16 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         151 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    32        32 @Base/boot.jl                                                                                                               499 Box
    32         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      195 DataFrames.DataFrame(columns::Vector{Any}, colindex::DataFrames.Index; copycols::Bool)
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         179 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    64        64 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         167 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    64         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         195 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         170 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         175 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         174 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @Base/boot.jl                                                                                                               647 Array
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         161 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         162 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         183 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         160 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    96         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         157 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   112         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      312 #DataFrame#220
   112         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      310 DataFrame
   112         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         371 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   128         0 @Base/array.jl                                                                                                              405 getindex
   128         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         178 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   128         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         184 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   128         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         182 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
